taz_key,county,district,neighborhood,Shape_Length,Shape_Area
1,sfr,Financial District,Foot of California,1200.319391,81249.79582
2,sfr,Financial District,Montgomey and California,1426.665119,125601.4539
3,sfr,Chinatown,Gate,974.8749577,58430.36961
4,sfr,Financial District,Montgomery BART Station,1338.807439,80392.35784
5,sfr,Downtown,Union Square,1915.672414,210988.8806
6,sfr,Downtown,Sutter,1594.85705,123302.2945
7,sfr,Downtown,Theater District,1803.3498,184660.4417
8,sfr,Downtown,Taylor,2008.942754,196756.4769
9,sfr,Downtown,Civic Center,2877.893357,450650.9957
10,sfr,SOMA,San Franscisco Mart and Federal Building,2326.486691,303375.5139
11,sfr,SOMA,Mall/Skid Row/Garage/Court,2452.915207,327367.2223
12,sfr,South Financial District,YBC and New Montgomery,1895.293308,216871.8241
13,sfr,South Financial District,Transbay West,1332.721076,108708.7673
14,sfr,South Financial District,Transbay East,1439.1053,128534.168
15,sfr,South Financial District,One Market,1449.36179,107060.2408
16,sfr,South Financial District,Folsom fr Emb to 3rd,3959.153697,478291.729
17,sfr,South Financial District,South Park and South Beach,5238.432883,626131.0519
18,sfr,SOMA,Fourth and Brannan,2819.021363,427368.6712
19,sfr,SOMA,Hall of Justice and Showcase Centers,3160.683905,508948.5342
20,sfr,SOMA,Folsom,2860.464649,402911.1364
21,sfr,SOMA,Moscone South,2434.25717,320748.1869
22,sfr,Financial District,Embarcadero Center and Ferry Terminal,4865.948834,319306.2761
23,sfr,North Beach Fish Wharf,Levis Plaza,4828.284269,364989.0453
24,sfr,Financial District,Montgomey and Columbus,1610.330771,157624.2972
25,sfr,Chinatown,Portsmouth Square,1136.284981,82064.53191
26,sfr,Chinatown,Commercial,962.4496047,56522.94109
27,sfr,Chinatown,Slope,1586.893875,102223.9369
28,sfr,Nob and Russian Hills,Nob Hill,1777.360408,177284.428
29,sfr,Nob and Russian Hills,Masonic Aud and Hotels,1893.483326,155642.6586
30,sfr,Downtown,Geary,1813.058808,186407.4096
31,sfr,Downtown,Sutter,1606.604753,124887.0742
32,sfr,Nob and Russian Hills,California,2028.801482,246467.0521
33,sfr,Nob and Russian Hills,Hyde and Jackson,2017.180327,236390.6248
34,sfr,Nob and Russian Hills,Hyde and Union,2057.626343,252947.681
35,sfr,Nob and Russian Hills,Broadway Tunnel,1907.548191,225910.2855
36,sfr,North Beach Fish Wharf,Columbus Ave W,2079.244144,183034.6656
37,sfr,North Beach Fish Wharf,Columbus Ave E,2266.049663,187088.0358
38,sfr,North Beach Fish Wharf,Telegraph Hill,3109.559301,335495.6415
39,sfr,Nob and Russian Hills,Macondry,2298.523312,267515.6321
40,sfr,Nob and Russian Hills,Aquatic Park to Lombard St,4305.958933,514982.4284
41,sfr,North Beach Fish Wharf,Fish Wharf,21592.9427,776463.2548
42,sfr,Treasure Island,Treasure Island,12372.85467,2423632.127
43,sfr,Marina,Fort Mason,13137.79027,800914.7407
44,sfr,Marina,Lombard Street,3141.266424,533259.9665
45,sfr,Marina,Union Street,2995.469194,365831.3212
46,sfr,Pacific Heights,Lafayette Park,2640.592998,410652.4426
47,sfr,Pacific Heights,Fillmore,1974.63068,235011.1557
48,sfr,Pacific Heights,Alta Plaza,2568.999064,353912.2614
49,sfr,Pacific Heights,Broadway,3758.489215,546275.4108
50,sfr,Marina,Cow Hollow,3064.489881,497469.8507
51,sfr,Marina,Palace of Fine Arts,11560.90485,458486.5646
52,sfr,Laurel Heights Presidio,Presidio,11877.63181,6118965.398
53,sfr,Richmond District,Golden Gate Park,14694.56039,4490575.237
54,sfr,Richmond District,Sutro Heights S and Baths,6909.070969,1113869.01
55,sfr,Richmond District,Sutro Heights N,2764.016162,397437.2755
56,sfr,Richmond District,Lands End,5115.412264,1073645.668
57,sfr,Laurel Heights Presidio,Seacliff,5072.772505,549965.4126
58,sfr,Richmond District,Clement and 29th,3032.211964,407759.9393
59,sfr,Richmond District,George Washington HS,3823.06771,814792.6329
60,sfr,Richmond District,Cabrillo and 25th,2529.279823,352522.9341
61,sfr,Richmond District,Anza and 25th,2585.011132,363449.1396
62,sfr,Richmond District,Clement and 19th,3335.036524,625808.6398
63,sfr,Richmond District,Balboa and 17th,2969.139223,530297.2909
64,sfr,Richmond District,Balboa and 10th,3128.853555,590659.1865
65,sfr,Richmond District,Clement and 10th,3029.111044,533101.57
66,sfr,Richmond District,Clement and 4th,2766.493168,419307.2542
67,sfr,Richmond District,Balboa and 4th,2576.906582,384019.4005
68,sfr,Richmond District,Angelo Rossi Pk,2456.223787,293275.6897
69,sfr,Western Addition,USF,4029.472259,838863.7711
70,sfr,Laurel Heights Presidio,Euclid,3923.815131,716389.583
71,sfr,Laurel Heights Presidio,Presidio Heights,3377.727775,580878.6024
72,sfr,Pacific Heights,Divisadero,2108.06106,233545.8841
73,sfr,Pacific Heights,Fillmore,2394.443767,278990.0789
74,sfr,Pacific Heights,Japantown,3714.216758,310816.8125
75,sfr,Pacific Heights,Geary and Franklin,1816.571131,172472.4298
76,sfr,Western Addition,State Building,1810.841066,158119.5047
77,sfr,Western Addition,Fillmore Center and Cathedral Hill,2451.790652,296746.4428
78,sfr,Western Addition,Jefferson Square,2597.896825,368630.6543
79,sfr,Western Addition,Hayes Valley,2224.190222,272697.9246
80,sfr,Western Addition,Filmore and Hayes,2012.285245,245683.4059
81,sfr,Castro Haight,Lower,3061.235462,442108.6729
82,sfr,Castro Haight,Duboce Triangle,2683.616407,297393.1503
83,sfr,Castro Haight,Corona Heights,3124.12912,469178.5985
84,sfr,Castro Haight,Buena Vista,3493.391156,490329.5898
85,sfr,Western Addition,Alamo Square,2312.647298,308866.7156
86,sfr,Western Addition,Kaiser,3112.065546,514015.1947
87,sfr,Western Addition,NOPA,2985.547703,370183.0477
88,sfr,Castro Haight,Upper,3017.95365,342913.5397
89,sfr,Castro Haight,Cole Valley and Parnassus Heights,3395.673431,607825.7373
90,sfr,Sunset District,UCSF North,3515.691593,344984.7858
91,sfr,Twin Peaks and West of Twin Peaks,UCSF South/Greenbelt/Laguna Honda,5498.757697,1275873.813
92,sfr,Twin Peaks and West of Twin Peaks,Midtown Terrace,5740.533428,1094142.127
93,sfr,Twin Peaks and West of Twin Peaks,Upper Market,6112.369807,957094.0431
94,sfr,Castro Haight,Village,2299.424615,276716.792
95,sfr,Noe Valley Diamond Heights,Eureka,2459.930475,343228.7447
96,sfr,Noe Valley Diamond Heights,Diamond and Clipper,2966.28934,311114.0989
97,sfr,Noe Valley Diamond Heights,Clipper and Noe,2489.588182,349104.8235
98,sfr,Noe Valley Diamond Heights,Sanchez and 22nd St,2659.210695,417117.3256
99,sfr,Mission,Guerero and 24th Sts,2423.751109,321098.1612
100,sfr,Mission,24th St BART Station,2396.51936,312669.8926
101,sfr,Mission,Mission Street 17th to 22nd,2558.597816,345842.8625
102,sfr,Mission,Guerero Street 17th to 22nd,2611.632825,359353.9353
103,sfr,Castro Haight,Dolores,3063.990462,556754.0333
104,sfr,Castro Haight,Church Street,2578.218371,273330.7958
105,sfr,Mission,Camp St,2683.558252,347197.5063
106,sfr,Mission,16th St BART Statoion and Mission Curve,3168.889311,453070.9843
107,sfr,Mission,Northeast Mission,4763.160066,895038.5766
108,sfr,Potrero Hill and Dogpatch,16th and Rhode Island,2942.200587,460288.6499
109,sfr,Mission Bay,Caltrain,16306.67524,542924.3531
110,sfr,Mission Bay,Mission Bay,7880.122929,1108362.073
111,sfr,Potrero Hill and Dogpatch,Dogpatch and Docks,12108.23375,1358110.174
112,sfr,Potrero Hill and Dogpatch,18th and Connecticut,2137.152459,275445.2295
113,sfr,Potrero Hill and Dogpatch,Southeastern Slope,3998.10846,751017.9526
114,sfr,Potrero Hill and Dogpatch,Southern Heights,4699.346269,592721.0835
115,sfr,Mission,General Hosptial and Potrero Ave,3130.895559,293724.6352
116,sfr,Mission,Mistral,3050.919679,577886.1135
117,sfr,Mission,22nd and Treat,2295.878754,281872.5032
118,sfr,Mission,Garfield Square,2077.744538,249015.7685
119,sfr,Mission,25th and Florida,1832.632567,161872.116
120,sfr,Mission,25th and Potrero,2276.771479,311372.902
121,sfr,Bernal Heights,Eastern,3908.537854,560499.537
122,sfr,Bernal Heights,Bernal Hill,3881.346732,656093.6044
123,sfr,Bernal Heights,Mission and Valencia,3171.113887,383452.0845
124,sfr,Bernal Heights,Holly Park,2780.772403,375598.052
125,sfr,Bernal Heights,Southern,5303.028322,348949.7433
126,sfr,Bernal Heights,St Marys,4014.583985,469890.1517
127,sfr,Noe Valley Diamond Heights,Chenery,4106.699146,500982.7019
128,sfr,Noe Valley Diamond Heights,Church and 28th,2871.4472,494103.4982
129,sfr,Noe Valley Diamond Heights,Diamond and 28th,4646.917357,597800.9324
130,sfr,Noe Valley Diamond Heights,Glen Canyon,7104.447156,1239799.949
131,sfr,Twin Peaks and West of Twin Peaks,Mount Davidson,5895.431966,1428921.282
132,sfr,OMI,Westwood Park,4236.558424,818942.6624
133,sfr,OMI,Sunnyside,5564.918937,1060408.256
134,sfr,OMI,Balboa Park and Cayuga,5060.850472,1097384.977
135,sfr,Crocker Excelsior,Brazil and Lisbon,2739.955729,406994.0202
136,sfr,Crocker Excelsior,Peru,2853.564127,357595.2492
137,sfr,Crocker Excelsior,Northeast,4274.624515,562368.8428
138,sfr,Portola,280 and 101,6222.729033,1157055.199
139,sfr,Bay View Hunters Point,Silver,3682.632617,665730.2183
140,sfr,Bay View Hunters Point,Bayview Circle,2802.402191,409686.1087
141,sfr,Bay View Hunters Point,Bayview W,2508.229589,208442.5211
142,sfr,Bay View Hunters Point,Islais Creek Area,12599.06647,3579886.148
143,sfr,Bay View Hunters Point,Bayview E,2713.219529,222566.6803
144,sfr,Bay View Hunters Point,Hilltop Pk,4118.049151,502090.0859
145,sfr,Bay View Hunters Point,India Basin,9147.10879,1463975.341
146,sfr,Bay View Hunters Point,Naval Yard,17113.67498,2119287.783
147,sfr,Bay View Hunters Point,Bayview SE,4540.346976,854181.0881
148,sfr,Bay View Hunters Point,Gilman,3825.852355,852263.6629
149,sfr,Bay View Hunters Point,Candlestick Point and Little Hollywood,8974.268261,2173140.856
150,sfr,Bay View Hunters Point,Paul Ave,3637.955908,640284.2396
151,sfr,Portola,Mansell and Girard,2720.36263,241448.2304
152,sfr,Portola,Dwight and Bowdoin,5265.743472,738892.4741
