juris_id,juris_name,county,OF_idx,HO_idx,SC_idx,IL_idx,IW_idx,IH_idx,RS_idx,RB_idx,MR_idx,MT_idx,ME_idx,HS_idx,HT_idx,HM_idx,MAX_DUA_idx,MAX_FAR_idx,MAX_HEIGHT_idx,proportion_adj_dua,proportion_adj_far,proportion_adj_height
alam,alameda,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,1,1,1
alba,albany,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,1,1,1
berk,berkeley,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
dubl,dublin,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
emer,emeryville,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,1,1,1
frem,fremont,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
hayw,hayward,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,1,1,1
livr,livermore,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
newk,newark,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,1,1,1
okld,oakland,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
pied,piedmont,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,1,1,1
plea,pleasanton,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
slea,san_leandro,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,PBA40,BASIS,1,1,1
uala,unincorporated_alameda,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
unic,union_city,ala,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,BASIS,BASIS,BASIS,1,1,1
anti,antioch,cnc,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,PBA40,1,1,1
